Quarterly_Period ,Year,Locality,Lower price Range,Upper price Range,Average Price
2,2019,Andheri,12845,22330,17588
1,2019,Andheri,13752,22496,18124
4,2018,Andheri,13409,23106,18257
3,2018,Andheri,13681,22969,18325
2,2018,Andheri,14079,23628,18853
1,2018,Andheri,13169,22665,17917
4,2017,Andheri,13149,22156,17652
3,2017,Andheri,13199,22060,17629
2,2019,Andheri East,12137,20550,16343
1,2019,Andheri East,12928,21295,17112
4,2018,Andheri East,12118,21072,16595
3,2018,Andheri East,12036,20492,16264
2,2018,Andheri East,12260,19572,15916
1,2018,Andheri East,11590,18327,14958
4,2017,Andheri East,11476,18395,14936
3,2017,Andheri East,11818,18812,15315
2,2017,Andheri East,11805,18832,15318
1,2017,Andheri East,11989,18809,15399
4,2016,Andheri East,12017,18335,15176
3,2016,Andheri East,11869,18143,15006
2,2016,Andheri East,11231,17938,14585
1,2016,Andheri East,11328,17339,14334
4,2015,Andheri East,11479,17333,14406
3,2015,Andheri East,11058,16934,13996
2,2015,Andheri East,10997,16847,13922
1,2015,Andheri East,10928,16920,13924
4,2014,Andheri East,11077,16768,13922
3,2014,Andheri East,10925,17012,13969
2,2014,Andheri East,10864,16994,13929
1,2014,Andheri East,10555,16515,13535
4,2013,Andheri East,10068,16181,13125
3,2013,Andheri East,9550,15252,12401
2,2013,Andheri East,10035,16024,13029
1,2013,Andheri East,10031,16216,13124
2,2019,Andheri Link Road,17938,27935,22937
1,2019,Andheri Link Road,17600,25887,21743
4,2018,Andheri Link Road,17353,27298,22325
3,2018,Andheri Link Road,16740,25813,21277
2,2018,Andheri Link Road,17074,25868,21471
1,2018,Andheri Link Road,17065,26418,21741
4,2017,Andheri Link Road,16794,26220,21507
3,2017,Andheri Link Road,16360,26321,21341
2,2017,Andheri Link Road,15707,25639,20673
1,2017,Andheri Link Road,15144,25345,20245
4,2016,Andheri Link Road,15134,25150,20142
3,2016,Andheri Link Road,15877,25666,20771
2,2016,Andheri Link Road,15912,24684,20298
2,2019,Andheri West,17611,27652,22631
1,2019,Andheri West,17562,25680,21621
4,2018,Andheri West,17062,27318,22190
3,2018,Andheri West,16650,25786,21218
2,2018,Andheri West,17126,26007,21567
1,2018,Andheri West,17155,26528,21841
4,2017,Andheri West,16785,26338,21561
3,2017,Andheri West,16497,26350,21424
2,2017,Andheri West,15813,25749,20781
1,2017,Andheri West,14774,25184,19979
4,2016,Andheri West,14942,24982,19962
3,2016,Andheri West,15739,25647,20693
2,2016,Andheri West,15675,24664,20169
1,2016,Andheri West,15331,24197,19764
4,2015,Andheri West,15220,24167,19694
3,2015,Andheri West,15076,23621,19349
2,2015,Andheri West,15404,23295,19350
1,2015,Andheri West,14945,22136,18540
4,2014,Andheri West,14905,22022,18463
3,2014,Andheri West,14354,22166,18260
2,2014,Andheri West,14496,22668,18582
1,2014,Andheri West,14494,22628,18561
4,2013,Andheri West,14124,21218,17671
3,2013,Andheri West,12812,19907,16359
2,2013,Andheri West,13482,20648,17065
1,2013,Andheri West,13618,21127,17372
2,2019,Bandra,25558,40716,33137
1,2019,Bandra,26217,40719,33468
4,2018,Bandra,27278,39227,33252
3,2018,Bandra,25504,38469,31986
2,2018,Bandra,26391,38848,32619.5
1,2018,Bandra,25071,41843,33457
4,2017,Bandra,25531,42987,34259
3,2017,Bandra,24611,40699,32655
2,2019,Bandra East,24695,39676,32185
1,2019,Bandra East,24402,39995,32199
4,2018,Bandra East,26728,38577,32652
3,2018,Bandra East,25116,37978,31547
2,2018,Bandra East,24864,37862,31363
1,2018,Bandra East,24990,37920,31455
4,2017,Bandra East,24927,37891,31409
3,2017,Bandra East,24958.5,37905.5,31432
2,2017,Bandra East,22325,36842,29584
1,2017,Bandra East,23401,37812,30607
4,2016,Bandra East,23391,37830,30611
3,2016,Bandra East,24531,37877,31204
2,2016,Bandra East,24843,37703,31273
1,2016,Bandra East,25155,37529,31342
2,2019,Bandra Kurla Complex,26788,39765,33276
1,2019,Bandra Kurla Complex,26757,39706,33232
4,2018,Bandra Kurla Complex,27815,38415,33115
3,2018,Bandra Kurla Complex,26202,39193,32698
2,2018,Bandra Kurla Complex,26349,38661,32505
1,2018,Bandra Kurla Complex,23665,37442,30553
4,2017,Bandra Kurla Complex,24366,36846,30606
3,2017,Bandra Kurla Complex,27108,40849,33978
2,2017,Bandra Kurla Complex,26703,40955,33829
1,2017,Bandra Kurla Complex,26619,40063,33341
4,2016,Bandra Kurla Complex,26544,36009,31277
3,2016,Bandra Kurla Complex,26869,38108,32489
2,2016,Bandra Kurla Complex,24955,38262,31609
1,2016,Bandra Kurla Complex,25257,37433,31345
4,2015,Bandra Kurla Complex,27276,37958,32617
3,2015,Bandra Kurla Complex,25695,37387,31541
2,2015,Bandra Kurla Complex,23378,34488,28933
1,2015,Bandra Kurla Complex,23090,34797,28944
4,2014,Bandra Kurla Complex,21560,32227,26893
3,2014,Bandra Kurla Complex,17249,31961,24605
2,2014,Bandra Kurla Complex,20328,32413,26371
1,2014,Bandra Kurla Complex,22934,32675,27805
4,2013,Bandra Kurla Complex,22145,33162,27654
3,2013,Bandra Kurla Complex,24310,34952,29631
2,2013,Bandra Kurla Complex,25214,34770,29992
1,2013,Bandra Kurla Complex,25666,34679,30172
2,2019,Bhandup,10808,17343,14076
1,2019,Bhandup,9943,15547,12745
4,2018,Bhandup,9975,16175,13075
3,2018,Bhandup,10046,18031,14039
2,2018,Bhandup,10275,14987,12631
1,2018,Bhandup,10896,15643,13269
4,2017,Bhandup,11159,15344,13251
3,2017,Bhandup,10232,15078,12655
2,2019,Bhandup West,10374,16817,13595
1,2019,Bhandup West,9599,15285,12442
4,2018,Bhandup West,10224,16145,13185
3,2018,Bhandup West,10185,18330,14258
2,2018,Bhandup West,10541,16987,13764
1,2018,Bhandup West,10896,15643,13269
4,2017,Bhandup West,11078,15199,13138
3,2017,Bhandup West,10427,15074,12751
2,2017,Bhandup West,10369,15261,12815
1,2017,Bhandup West,9431,13940,11686
4,2016,Bhandup West,8391,12783,10587
3,2016,Bhandup West,8997,13230,11113
2,2016,Bhandup West,8787,12494,10640
1,2016,Bhandup West,8743,15153,11948
4,2015,Bhandup West,7998,12687,10342
3,2015,Bhandup West,8282,13260,10771
2,2015,Bhandup West,8408,13434,10921
1,2015,Bhandup West,8533,13607,11070
4,2014,Bhandup West,8738,13423,11081
3,2014,Bhandup West,8635.5,13515,11075.25
2,2014,Bhandup West,8686.75,13469,11077.875
1,2014,Bhandup West,8668.375,13217.5,10942.9375
4,2013,Bhandup West,8650,12966,10808
2,2019,Bhandup West,10374,16817,13595
1,2019,Bhandup West,9599,15285,12442
4,2018,Bhandup West,10224,16145,13185
3,2018,Bhandup West,10185,18330,14258
2,2018,Bhandup West,10541,16987,13764
1,2018,Bhandup West,10896,15643,13269
4,2017,Bhandup West,11078,15199,13138
3,2017,Bhandup West,10427,15074,12751
2,2017,Bhandup West,10369,15261,12815
1,2017,Bhandup West,9431,13940,11686
4,2016,Bhandup West,8391,12783,10587
3,2016,Bhandup West,8997,13230,11113
2,2016,Bhandup West,8787,12494,10640
1,2016,Bhandup West,8743,15153,11948
4,2015,Bhandup West,7998,12687,10342
3,2015,Bhandup West,8282,13260,10771
2,2015,Bhandup West,8408,13434,10921
1,2015,Bhandup West,8533,13607,11070
4,2014,Bhandup West,8738,13423,11081
3,2014,Bhandup West,8635.5,13515,11075.25
2,2014,Bhandup West,8686.75,13469,11077.875
1,2014,Bhandup West,8668.375,13217.5,10942.9375
4,2013,Bhandup West,8650,12966,10808
2,2019,Borivali,16922,27565,22244
1,2019,Borivali,17763,30345,24054
4,2018,Borivali,18338,31033,24685
3,2018,Borivali,16228,26974,21601
2,2018,Borivali,16556,28205,22380
2,2019,Borivali West,16147,29169,22658
1,2019,Borivali West,19380,31757,25569
4,2018,Borivali West,17233,30215,23724
3,2018,Borivali West,16577,27856,22216
2,2018,Borivali West,17146,28806,22976
1,2018,Borivali West,17039,28418,22728
4,2017,Borivali West,17530,28792,23161
3,2017,Borivali West,17023,27714,22368
2,2017,Borivali West,16476,26897,21687
1,2017,Borivali West,17218,29255,23236
4,2016,Borivali West,15686,28264,21975
3,2016,Borivali West,16658,26717,21687
2,2016,Borivali West,15083,25138,20111
1,2016,Borivali West,14227,25062,19645
4,2015,Borivali West,14992,22401,18696
3,2015,Borivali West,15361,22725,19043
2,2015,Borivali West,15274,21895,18585
1,2015,Borivali West,15258,23983,19621
4,2014,Borivali West,15034,21837,18436
3,2014,Borivali West,15845,21156,18500
2,2014,Borivali West,14650,21019,17835
1,2014,Borivali West,14039,19880,16960
4,2013,Borivali West,13939,20829,17384
2,2019,Chakala,16374,23380,19877
1,2019,Chakala,15644,22882,19263
4,2018,Chakala,16093,22593,19343
3,2018,Chakala,15997,22050,19024
2,2018,Chakala,14986,21437,18212
1,2018,Chakala,14619,20185,17402
4,2017,Chakala,15054,20162,17608
3,2017,Chakala,14883,19474,17179
2,2017,Chakala,14227,19603,16915
1,2017,Chakala,13754,19003,16378
4,2016,Chakala,13795,18589,16192
3,2016,Chakala,14068,18023,16046
2,2016,Chakala,13934,18098,16016
1,2016,Chakala,13630,18507,16069
4,2015,Chakala,13644,18326,15985
3,2015,Chakala,13378,17968,15673
2,2015,Chakala,13137,17995,15566
1,2015,Chakala,13459,18205,15832
2,2019,Chembur,14718,23953,19335
1,2019,Chembur,14055,22848,18451
4,2018,Chembur,14197,24142,19169
3,2018,Chembur,14087,24755,19421
2,2018,Chembur,14373,24813,19593
1,2018,Chembur,13476,22315,17896
4,2017,Chembur,12942,20102,16522
3,2017,Chembur,13878,24389,19134
2,2017,Chembur,13894,22695,18295
1,2017,Chembur,13501,22504,18002
4,2016,Chembur,13351,21945,17648
3,2016,Chembur,13232,21937,17585
2,2016,Chembur,12747,21780,17264
1,2016,Chembur,13687,24016,18852
4,2015,Chembur,13795,24035,18915
3,2015,Chembur,13158,22020,17589
2,2015,Chembur,12964,22573,17768
1,2015,Chembur,13511,24230,18871
4,2014,Chembur,12635,21408,17022
3,2014,Chembur,13178,22614,17896
2,2014,Chembur,14012,23569,18790
1,2014,Chembur,12820,22987,17904
4,2013,Chembur,13100,20674,16887
3,2013,Chembur,11881,20321,16101
2,2013,Chembur,12273,19178,15725
1,2013,Chembur,11930,21197,16564
2,2019,Dadar,22223,37680,29951
1,2019,Dadar,23027,40394,31711
4,2018,Dadar,25897,48434,37166
3,2018,Dadar,27612,46879,37246
2,2018,Dadar,24885,43544,34215
2,2019,Fort,21155,36148,28651
1,2019,Fort,20365,35062,27714
4,2018,Fort,22161,35261,28711
3,2018,Fort,20670,30475,25573
2,2018,Fort,20119,31377,25748
1,2018,Fort,19606,30432,25019
4,2017,Fort,19375,31246,25310
3,2017,Fort,17285,29819,23552
2,2017,Fort,16974,28332,22653
1,2017,Fort,17363,30999,24181
4,2016,Fort,19346,32282,25814
3,2016,Fort,19148,33775,26462
2,2016,Fort,17880,31004,24442
1,2016,Fort,19248,32903,26076
4,2015,Fort,19554,33282,26418
3,2015,Fort,19456,33639,26548
2,2015,Fort,20659,33604,27131
1,2015,Fort,21900,35918,28909
4,2014,Fort,20384,34986,27685
3,2014,Fort,20036,34092,27064
2,2014,Fort,19651,33796,26724
1,2014,Fort,19981,34825,27403
4,2013,Fort,22356,35930,29143
3,2013,Fort,22393,37770,30081
2,2013,Fort,22179,36944,29562
1,2013,Fort,18159,30707,24433
2,2019,Goregaon,12503,19717,16110
1,2019,Goregaon,12728,19442,16085
4,2018,Goregaon,12560,18624,15592
3,2018,Goregaon,12642,18664,15653
2,2018,Goregaon,12762,20328,16545
1,2018,Goregaon,12711,18800,15756
4,2017,Goregaon,12718,18466,15592
2,2019,Goregaon East,12694,19572,16133
1,2019,Goregaon East,12830,18997,15914
4,2018,Goregaon East,12605,18725,15665
3,2018,Goregaon East,12767,18705,15736
2,2018,Goregaon East,13262,19937,16599
1,2018,Goregaon East,13269,19015,16142
4,2017,Goregaon East,13103,18226,15664
3,2017,Goregaon East,11447,17611,14529
2,2017,Goregaon East,11387,17006,14196
1,2017,Goregaon East,11677,16936,14307
4,2016,Goregaon East,11551,17090,14320
3,2016,Goregaon East,12013,16775,14394
2,2016,Goregaon East,11831,16932,14382
1,2016,Goregaon East,11817,16900,14358
4,2015,Goregaon East,11766,16887,14326
3,2015,Goregaon East,11673,16781,14227
2,2015,Goregaon East,11623,16743,14183
1,2015,Goregaon East,11546,16352,13949
4,2014,Goregaon East,11083,16311,13697
3,2014,Goregaon East,11408,16423,13915
2,2014,Goregaon East,11235,16582,13908
1,2014,Goregaon East,10982,15616,13299
4,2013,Goregaon East,10726,14819,12772
3,2013,Goregaon East,10335,15168,12752
2,2013,Goregaon East,10865,14382,12623
1,2013,Goregaon East,10060,15079,12569
2,2019,Goregaon West,12853,22459,17656
1,2019,Goregaon West,12550,22300,17425
4,2018,Goregaon West,12702,22500,17601
3,2018,Goregaon West,11894,21386,16640
2,2018,Goregaon West,12466,23755,18110
1,2018,Goregaon West,13583,23985,18784
4,2017,Goregaon West,13025,17524.5,15274.75
3,2017,Goregaon West,11006,17472,14239
2,2017,Goregaon West,11322,17577,14450
1,2017,Goregaon West,10690,17366,14028
4,2016,Goregaon West,11260,16850,14055
3,2016,Goregaon West,11683,16667,14175
2,2016,Goregaon West,11832,18670,15251
1,2016,Goregaon West,12016,18393,15204
4,2015,Goregaon West,11700,17720,14710
3,2015,Goregaon West,12958,18672,15815
2,2015,Goregaon West,13123,18771,15947
1,2015,Goregaon West,11858,18057,17958
4,2014,Goregaon West,13041,18722,15882
3,2014,Goregaon West,11223,16574,13898
2,2014,Goregaon West,11744,16170,13957
1,2014,Goregaon West,11601,16253,13927
4,2013,Goregaon West,11400,16568,13984
3,2013,Goregaon West,12000,15772,13886
2,2013,Goregaon West,11548,16971,14259
1,2013,Goregaon West,11268,16176,13722
2,2019,Kalbadevi,22248,34766,28507
1,2019,Kalbadevi,21479,34536,28007
4,2018,Kalbadevi,20422,32808,26615
3,2018,Kalbadevi,19648,32680,26164
2,2018,Kalbadevi,20840,34304,27572
1,2018,Kalbadevi,20966,35034,28000
4,2017,Kalbadevi,22896,35480,29188
3,2017,Kalbadevi,21278,34609,27943
2,2017,Kalbadevi,23237,41054,32146
1,2017,Kalbadevi,21172,33815,27494
4,2016,Kalbadevi,23666,40990,32328
3,2016,Kalbadevi,21335,35276,28306
2,2016,Kalbadevi,22551,41549,32050
1,2016,Kalbadevi,22074,35295,28685
4,2015,Kalbadevi,20300,33519,26910
3,2015,Kalbadevi,21107,35276,28192
2,2015,Kalbadevi,23218,38202,30710
1,2015,Kalbadevi,25329,41127,33228
2,2019,Kandivali East,13524,23204,18364
1,2019,Kandivali East,12599,18663,15631
4,2018,Kandivali East,15192,24874,20033
3,2018,Kandivali East,14127,22904,18516
2,2018,Kandivali East,13062,20934,16998
1,2018,Kandivali East,14765,25304,20035
4,2017,Kandivali East,15820,25398,20609
3,2017,Kandivali East,14157,24350,19253
2,2017,Kandivali East,17067,28521,22794
1,2017,Kandivali East,17450,27522,22486
4,2016,Kandivali East,14659,25181,19920
3,2016,Kandivali East,14130,25630,19880
2,2016,Kandivali East,14058,25530,19794
1,2016,Kandivali East,14217,23600,18908
4,2015,Kandivali East,14328,24032,19180
3,2015,Kandivali East,14025,24466,19246
2,2019,Kandivali West,15083,25743,20413
1,2019,Kandivali West,15866,25749,20807
4,2018,Kandivali West,14220,24235,19227
3,2018,Kandivali West,13783,23697,18740
2,2018,Kandivali West,15289,24065,19677
1,2018,Kandivali West,13936,22588,18262
4,2017,Kandivali West,13022,20497,16760
3,2017,Kandivali West,13042,20692,16867
2,2017,Kandivali West,12797,20705,16751
1,2017,Kandivali West,11080,19734,15407
4,2016,Kandivali West,11836,19077,15457
3,2016,Kandivali West,11178,19765,15472
2,2016,Kandivali West,11252,17890,14571
1,2016,Kandivali West,13532,22453,17993
4,2015,Kandivali West,13172,21518,17345
3,2015,Kandivali West,13027,21533,17280
2,2015,Kandivali West,12866,19742,16304
1,2015,Kandivali West,13572,20707,17139
4,2014,Kandivali West,12164,20342,16253
3,2014,Kandivali West,13297,20205,16751
2,2014,Kandivali West,12302,20288,16295
1,2014,Kandivali West,11574,17986,14780
4,2013,Kandivali West,11484,18204,14844
3,2013,Kandivali West,12731,20225,16478
2,2013,Kandivali West,11739,17369,14554
1,2013,Kandivali West,12325,20245,16285
